Id,Title,Year,Style,Rating,Comments,Country,Quote,Link
82,大鱼,                            2003 , 剧情/家庭/奇幻/冒险,8.7,243087, 美国 ,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
83,重庆森林,                            1994 , 剧情/爱情,8.6,315085, 香港 ,寂寞没有期限。,https://movie.douban.com/subject/1291999/
84,射雕英雄传之东成西就,                            1993 , 喜剧/古装,8.7,265285, 香港 ,百看不厌。 ,https://movie.douban.com/subject/1316510/
85,上帝之城,                            2002 , 犯罪/剧情,8.9,153303, 巴西/法国 ,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
86,阳光姐妹淘,                            2011 , 剧情/喜剧,8.8,258083, 韩国 ,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
87,甜蜜蜜,                            1996 , 剧情/爱情,8.7,224754, 香港 ,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
88,禁闭岛,                            2010 , 剧情/悬疑/惊悚,8.6,343524, 美国 ,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
89,致命ID,                            2003 , 剧情/悬疑/惊悚,8.6,304580, 美国 ,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
90,一一,                            2000 , 剧情/爱情/家庭,8.9,148798, 台湾/日本 ,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
91,告白,                            2010 , 剧情/惊悚,8.7,327104, 日本 ,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
92,狩猎,                            2012 , 剧情,9.0,118662, 丹麦/瑞典 ,人言可畏。,https://movie.douban.com/subject/6985810/
93,加勒比海盗,                            2003 , 动作/冒险/奇幻,8.6,328057, 美国 ,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
94,布达佩斯大饭店,                            2014 , 剧情/喜剧,8.7,292318, 美国/德国/英国 ,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
95,断背山,                            2005 , 剧情/爱情/同性/家庭,8.6,305612, 美国/加拿大 ,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
96,爱在黎明破晓前,                            1995 , 剧情/爱情,8.7,210020, 美国/奥地利/瑞士 ,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
97,末代皇帝,                            1987 , 剧情/传记/历史,8.9,154022, 意大利/中国大陆/英国/法国 ,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
