regionId,name,country,color,coordinates,frequency,width
356->168,弗洛姆->奥斯陆,Norway,#EB9571,"<MultiGeometry><LineString><coordinates>7.111785,60.860772,0.0 10.752245,59.913869,0.0</coordinates></LineString></MultiGeometry>",1,1
356->164,弗洛姆->斯德哥尔摩,Norway,#EB9571,"<MultiGeometry><LineString><coordinates>7.111785,60.860772,0.0 18.068581,59.329324,0.0</coordinates></LineString></MultiGeometry>",1,1
356->200,弗洛姆->卑尔根,Norway,#EB9571,"<MultiGeometry><LineString><coordinates>7.111785,60.860772,0.0 5.322054,60.391263,0.0</coordinates></LineString></MultiGeometry>",2,1
395->158,梅尔斯堡->斯图加特,Germany,#0B2312,"<MultiGeometry><LineString><coordinates>9.272092,47.695484,0.0 9.237639,48.787784,0.0</coordinates></LineString></MultiGeometry>",10,3
395->160,梅尔斯堡->新天鹅堡,Germany,#0B2312,"<MultiGeometry><LineString><coordinates>9.272092,47.695484,0.0 10.749833,47.557531,0.0</coordinates></LineString></MultiGeometry>",8,3
432->738,鲁昂->埃特勒塔,France,#457B54,"<MultiGeometry><LineString><coordinates>1.099971,49.443232,0.0 0.205598,49.707007,0.0</coordinates></LineString></MultiGeometry>",21,3
738->739,埃特勒塔->多维尔,France,#457B54,"<MultiGeometry><LineString><coordinates>0.205598,49.707007,0.0 0.075122,49.353976,0.0</coordinates></LineString></MultiGeometry>",21,3
739->396,多维尔->吉维尼,France,#457B54,"<MultiGeometry><LineString><coordinates>0.075122,49.353976,0.0 1.533504,49.081595,0.0</coordinates></LineString></MultiGeometry>",21,3
34->36,维提岛->亚萨瓦群岛,Fiji,#43E643,"<MultiGeometry><LineString><coordinates>178.011847,-17.848319,0.0 177.333333,-16.916667,0.0</coordinates></LineString></MultiGeometry>",1,1
34->35,维提岛->马马努卡群岛,Fiji,#43E643,"<MultiGeometry><LineString><coordinates>178.011847,-17.848319,0.0 177.083333,-17.666667,0.0</coordinates></LineString></MultiGeometry>",1,1
36->34,亚萨瓦群岛->维提岛,Fiji,#43E643,"<MultiGeometry><LineString><coordinates>177.333333,-16.916667,0.0 178.011847,-17.848319,0.0</coordinates></LineString></MultiGeometry>",1,1
